Flight Date/Time,Model,Aircraft ID,Route,Takeoffs (D/N),Full Stop (D/N),Inst App (D/N),SE,ME,Complex,Turbine,Rotorcraft,Sim/FTD,X/Ctry,Actual Inst (D/N),Sim Inst (D/N),Total Time (D/N),PIC Time (D/N),Dual Received,As Instructor,Flight Remarks
"May 19, 1999",172,PH-AMB,EHHV - EHAL - EHHV,2,2,,2.1,,,,,,2.1,,,2.1,2.1,,,
"May 19, 1999",172,PH-AMB,EHHV - EHLE - EHAL,2,2,,1.1,,,,,,1.1,,,1.1,1.1,,,
"May 8, 1999",DA-20,PH-USJ,EHLE,4,4,,2.0,,,,,, ,,,2.0,2.0,,2.0,WINGS
"May 1, 1999",172,PH-BVL,EHLE,5,5,,1.8,,,,,, ,,,1.8,1.8,,1.8,WINGS
"Apr 27, 1999",172,PH-AMB,EHLE,2,2,,0.4,,,,,, ,,,0.4,0.4,,,WOLDISS PHOTOFLIGHT
"Apr 23, 1999",172,PH-AMB,EHLE,2,2,,0.7,,,,,, ,,,0.7,0.7,,0.7,WINGS
"Apr 15, 1999",DA-20,PH-USH,EHLE,1,1,,0.5,,,,,, ,,,0.5,0.5,,,RIGHT SEAT
"Apr 15, 1999",172,PH-AMB,EHLE,2,2,,0.5,,,,,, ,,,0.5,0.5,,,RIGHT SEAT
"Apr 11, 1999",DA-20,PH-USI,EHLE,1,1,,0.5,,,,,, ,,,0.5,0.5,,,
"Apr 2, 1999",ASK-13,PH-405,EHHV,1,1,,0.5,,,,,, ,,,0.5,,0.5,,GLIDER
"Mar 19, 1999",Archer,PH-AEF,EHLE - EHBK - EHLE,3,3,3,2.5,,,,,, ,2.5,,2.5,2.5,2.5,,
"Mar 18, 1999",Archer,PH-AEF,EHLE - EHRD - EHLE,1,1,3,2.0,,,,,, ,2.0,,2.0,2.0,2.0,,
"Mar 14, 1999",DA-20,PH-USH,EHLE,1,1,,0.9,,,,,, ,,,0.9,0.9,,,
"Jan 29, 1999",172,PH-AMB,EHLE,1,1,,0.8,,,,,, ,,,0.8,0.8,,,
"Jan 29, 1999",172,PH-AMB,EHLE - EHGG - EHLE,2,2,3,2.3,,,,,,2.3,,1.0,2.3,2.3,,,CHECKRIDE B2 EXAMINATION
